Sample ID,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,UVM-AgLab-ICP-notes-MED
RI24-1094,-0.005,-0.001,0.007,-0.002,0.374,1.017,0.048,0.644,1.789,-0.003,2.368,UVM-Aglab_2024-03-28 run at UVM
RI24-1095,0.006,-0.004,0.008,0.006,0.553,0.506,0.056,0.7,5.252,0.013,1.945,UVM-Aglab_2024-03-28 run at UVM
RI24-1096,-0.008,-0.01,0.004,-0.003,0.11,0.444,-0.003,0.315,0.464,0.005,1.072,UVM-Aglab_2024-03-28 run at UVM
RI24-1097,0.016,0.06,0.005,-0.002,1.873,2.688,0.114,15.415,138.777,-0.054,51.891,UVM-Aglab_2024-03-28 run at UVM
RI24-1098,-0.006,0.026,0.005,0.121,0.082,0.56,0.003,0.574,0.814,0.006,1.839,UVM-Aglab_2024-03-28 run at UVM
RI24-1099,-0.011,-0.01,0.003,0.004,-0.109,0.227,-0.002,0.006,0.314,-0.005,0.158,UVM-Aglab_2024-03-28 run at UVM
RI24-1100,0.001,-0.008,0.003,0.081,0.724,0.296,0.004,0.396,0.557,0.016,2.782,UVM-Aglab_2024-03-28 run at UVM
RI24-1127,0.042,0.008,0.006,-0.009,2.452,2.597,0.063,6.846,12.979,-0.026,35.79,UVM-Aglab_2024-03-28 run at UVM
RI24-1128,0.017,0.054,0.007,0.074,2.266,2.764,0.112,14.706,185.82,-0.044,45.557,UVM-Aglab_2024-03-28 run at UVM
RI24-1129,0.003,-0.008,0.016,-0.007,0.755,0.331,0.012,0.404,0.468,0.019,2.903,UVM-Aglab_2024-03-28 run at UVM
RI24-1130,0.015,-0.007,0.005,-0.008,0.623,0.319,0.008,0.405,0.222,0.019,2.911,UVM-Aglab_2024-03-28 run at UVM
RI24-1131,0.007,-0.007,0.005,-0.009,0.634,0.302,0.001,0.385,0.031,0.017,2.803,UVM-Aglab_2024-03-28 run at UVM
RI24-1132,0.009,-0.006,0.005,-0.008,0.896,0.314,0.003,0.411,0.062,0.011,2.943,UVM-Aglab_2024-03-28 run at UVM
RI24-1133,0.006,-0.007,0.005,-0.009,0.79,0.312,0.003,0.409,0.03,0.016,2.886,UVM-Aglab_2024-03-28 run at UVM
RI24-1134,0.047,0.004,0.005,0.004,2.253,2.756,0.061,6.277,12.019,-0.022,33.931,UVM-Aglab_2024-03-28 run at UVM
RI24-1135,0.106,0.02,0.006,-0.004,2.205,2.56,0.056,6.086,12.351,-0.006,32.853,UVM-Aglab_2024-03-28 run at UVM
RI24-1136,0.063,0.004,0.006,-0.004,2.201,2.443,0.047,6.063,12.026,-0.022,33.633,UVM-Aglab_2024-03-28 run at UVM
RI24-1137,0.033,-0.003,0.007,-0.001,3.855,2.795,0.084,5.902,11.556,-0.023,32.815,UVM-Aglab_Replaced with Si run values
RI24-1138,0.067,0.005,0.007,0.001,4.181,2.983,0.097,6.091,11.78,0.003,33.717,UVM-Aglab_Replaced with Si run values
RI24-1139,0.07,0.003,0.007,-0.003,2.698,2.863,0.085,6.032,11.77,-0.002,33.633,UVM-Aglab_Replaced with Si run values
RI24-1140,0.042,0.003,0.007,0,3.182,2.742,0.077,5.938,11.757,-0.021,33.592,UVM-Aglab_Replaced with Si run values
RI24-1153,0.044,0.02,0.007,-0.002,3.974,2.611,0.086,6.252,11.999,-0.031,34.871,UVM-Aglab_Replaced with Si run values
RI24-1154,0.02,0.002,0.006,0.001,1.608,0.672,0.038,0.335,0.497,0.032,2.552,UVM-Aglab_Replaced with Si run values
RI24-1155,0.01,0.034,0.007,0.01,3.486,3.386,0.131,12.883,125.959,-0.046,43.587,UVM-Aglab_Replaced with Si run values
RI24-1156,0.016,0.033,0.007,0.009,4.308,3.573,0.142,12.922,121.113,-0.05,44.483,UVM-Aglab_Replaced with Si run values
RI24-1157,0.016,0.039,0.007,0.026,2.099,3.783,0.14,13.586,122.862,-0.053,46.288,UVM-Aglab_Replaced with Si run values
RI24-1158,0.013,0.043,0.007,0.006,2.13,3.743,0.141,13.259,121.304,-0.053,46.163,UVM-Aglab_Replaced with Si run values
RI24-1159,0.029,0.059,0.006,0.001,3.224,3.854,0.151,13.763,130.339,-0.052,47.289,UVM-Aglab_Replaced with Si run values
RI24-1160,0.029,0.072,0.007,0.002,2.593,3.727,0.145,13.808,129.496,-0.048,47.215,UVM-Aglab_Replaced with Si run values
RI24-1161,0.025,0.051,0.007,0.028,1.721,3.84,0.134,14.066,128.891,-0.05,48.186,UVM-Aglab_Replaced with Si run values
RI24-1162,0.037,0.057,0.006,-0.001,1.956,3.789,0.141,14.244,126.871,-0.051,48.899,UVM-Aglab_Replaced with Si run values
RI24-1163,0.036,0.017,0.007,-0.002,3.599,3.009,0.097,6.057,12.508,-0.024,33.844,UVM-Aglab_Replaced with Si run values
RI24-1164,0.02,0.016,0.007,0.029,0.604,0.905,0.038,0.335,0.899,0.036,2.492,UVM-Aglab_Replaced with Si run values
RI24-1165,0.01,-0.002,0.006,0.007,0.996,0.819,0.034,0.329,0.733,0.028,2.452,UVM-Aglab_Replaced with Si run values
RI24-1166,0.012,-0.002,0.006,0.012,1.265,0.685,0.045,0.334,0.563,0.034,2.523,UVM-Aglab_Replaced with Si run values
RI24-1167,0.023,-0.007,0.005,-0.005,0.973,0.527,-0.044,0.269,0.512,0.033,2.317,UVM-Aglab_
RI24-1168,0.028,0.038,0.004,-0.001,0.968,0.505,-0.04,0.251,0.472,0.044,2.228,UVM-Aglab_
RI24-1169,0.034,-0.011,0.005,-0.005,1.012,0.494,-0.042,0.273,0.47,0.052,2.395,UVM-Aglab_
RI24-1170,0.007,-0.013,0.004,-0.002,1.105,0.505,-0.033,0.299,0.455,0.024,2.537,UVM-Aglab_
RI24-1171,0.013,-0.011,0.004,-0.006,1.139,0.502,-0.033,0.314,0.487,0.027,2.54,UVM-Aglab_
RI24-1172,-0.004,-0.016,0.004,0,1.256,0.525,-0.044,0.391,0.531,0.025,2.973,UVM-Aglab_
RI24-1173,0.008,-0.014,0.004,0.003,1.205,0.546,-0.027,0.39,0.534,0.022,2.994,UVM-Aglab_
RI24-1174,0.015,-0.014,0.004,0,1.126,0.53,-0.048,0.368,0.494,0.023,2.885,UVM-Aglab_
RI24-1175,0.015,-0.014,0.004,-0.002,1.121,0.536,-0.038,0.388,0.529,0.019,2.962,UVM-Aglab_
RI24-1176,0.002,-0.015,0.005,0,1.153,0.554,-0.038,0.357,0.498,0.02,2.872,UVM-Aglab_
RI24-1177,0.016,-0.015,0.004,-0.007,0.95,0.553,-0.04,0.322,0.479,0.03,2.589,UVM-Aglab_
RI24-1178,0.01,-0.015,0.004,-0.002,0.862,0.537,-0.045,0.286,0.458,0.037,2.461,UVM-Aglab_
RI24-1179,0.006,-0.014,0.004,0,0.852,0.612,-0.036,0.277,0.456,0.031,2.437,UVM-Aglab_
RI24-1180,0.001,-0.015,0.004,-0.007,0.857,0.554,-0.038,0.279,0.446,0.029,2.407,UVM-Aglab_
RI24-1181,0.002,-0.015,0.004,0.003,0.934,0.521,-0.031,0.285,0.433,0.034,2.496,UVM-Aglab_
RI24-1182,0.001,-0.015,0.004,-0.002,0.97,0.523,-0.035,0.292,0.453,0.035,2.513,UVM-Aglab_
RI24-1183,0.003,-0.015,0.004,0.005,0.979,0.59,-0.042,0.294,0.484,0.033,2.45,UVM-Aglab_
RI24-1184,0.001,-0.015,0.004,-0.006,1.017,0.579,-0.048,0.312,0.475,0.025,2.527,UVM-Aglab_
RI24-1185,0.002,-0.015,0.004,-0.003,1.064,0.563,-0.044,0.323,0.477,0.032,2.641,UVM-Aglab_
RI24-1186,-0.001,-0.015,0.004,-0.004,1.062,0.548,-0.04,0.323,0.466,0.029,2.614,UVM-Aglab_
RI24-1187,0.001,-0.015,0.004,-0.009,1.033,0.549,-0.034,0.322,0.463,0.022,2.594,UVM-Aglab_
RI24-1188,0,-0.015,0.004,-0.009,1.011,0.573,-0.037,0.321,0.483,0.018,2.599,UVM-Aglab_
RI24-1189,0.007,-0.009,0.003,0.007,2.847,2.918,0.028,5.847,11.739,-0.031,32.011,UVM-Aglab_Replaced with Si run values
RI24-1190,0.025,-0.006,0.002,0.009,2.249,3.089,0.038,6.155,12.305,-0.019,33.687,UVM-Aglab_Replaced with Si run values
RI24-1193,0.005,-0.007,0.002,0.002,2.587,3.046,0.023,6.456,13.374,-0.031,36.034,UVM-Aglab_Replaced with Si run values
RI24-1194,0.018,-0.007,0.002,0.004,3.432,3.108,0.05,6.375,12.934,-0.046,35.998,UVM-Aglab_Replaced with Si run values
RI24-1195,0.014,-0.008,0.002,0.002,3.533,3.222,0.052,6.496,13.039,-0.046,36.969,UVM-Aglab_Replaced with Si run values
RI24-1196,0.005,-0.009,0.002,-0.002,2.7,3.064,0.03,6.384,13.228,-0.05,36.293,UVM-Aglab_Replaced with Si run values
RI24-1197,0.009,-0.009,0.002,-0.002,2.28,2.967,0.027,5.874,13.046,-0.043,33.332,UVM-Aglab_Replaced with Si run values
RI24-1198,0.019,-0.008,0.003,0.002,2.805,3.505,0.049,5.994,12.494,-0.038,33.421,UVM-Aglab_Replaced with Si run values
RI24-1199,0.016,-0.009,0.003,0.003,2.392,3.459,0.031,5.734,12.997,-0.04,31.714,UVM-Aglab_Replaced with Si run values
RI24-1200,0.02,-0.008,0.003,0.007,2.93,3.15,0.032,5.392,12.013,-0.034,29.902,UVM-Aglab_Replaced with Si run values
RI24-1203,0.065,0.037,0.007,-0.002,2.353,3.985,0.134,14.316,138.897,-0.021,44.293,UVM-Aglab_
RI24-1204,0.007,-0.009,0.002,0.003,2.603,3.044,0.033,5.432,11.542,-0.04,29.794,UVM-Aglab_Replaced with Si run values
RI24-1205,0.011,-0.008,0.002,0.001,2.723,2.934,0.024,5.478,11.297,-0.034,30.104,UVM-Aglab_Replaced with Si run values
RI24-1206,0.012,-0.008,0.002,0.003,2.731,2.801,0.031,5.454,11.214,-0.037,30.65,UVM-Aglab_Replaced with Si run values
RI24-1207,0.068,0.001,0.002,0.006,2.446,2.704,0.033,5.554,11.168,-0.011,30.002,UVM-Aglab_Replaced with Si run values
RI24-1208,0.011,-0.009,0.002,0,2.712,2.631,0.016,5.586,11.273,-0.044,31.25,UVM-Aglab_Replaced with Si run values
RI24-1209,0.037,-0.003,0.002,-0.003,2.47,2.695,0.019,5.733,11.635,-0.032,31.917,UVM-Aglab_Replaced with Si run values
RI24-1210,0.022,0.008,0.002,0.001,2.736,3.058,0.045,6.22,12.197,-0.044,32.959,UVM-Aglab_Replaced with Si run values
RI24-1212,0.091,-0.006,0.004,0.002,0.151,0.3,0.008,0.12,1.433,0.289,0.35,UVM-Aglab_
RI24-1213,0.05,0,0.005,0.014,0.238,1.512,0.088,1.102,1.882,0.127,4.489,UVM-Aglab_
RI24-1214,0.025,0.057,0.007,-0.001,2.248,4.057,0.145,15.587,161.717,-0.023,50.959,UVM-Aglab_
RI24-1215,0.021,0.048,0.006,-0.006,2.079,3.034,0.141,16.155,156.764,-0.025,47.939,UVM-Aglab_Replaced with re-run
RI24-1216,0.034,0.043,0.006,-0.004,2.124,3.989,0.145,15.553,159.153,-0.039,47.571,UVM-Aglab_
RI24-1217,0.013,0.045,0.006,-0.004,2.057,4.138,0.136,15.766,162.302,-0.039,49.417,UVM-Aglab_
RI24-1218,0.017,0.032,0.007,-0.003,1.946,3.981,0.14,15.314,167.374,-0.02,39.94,UVM-Aglab_
RI24-1219,0.055,0.044,0.007,-0.005,2.098,3.947,0.125,13.194,152.759,-0.031,43.878,UVM-Aglab_
RI24-1220,0.042,0.027,0.007,-0.005,1.765,3.645,0.117,10.278,127.288,0.003,34.775,UVM-Aglab_
RI24-1221,-0.009,-0.011,0.007,0.038,1.037,0.751,-0.01,0.917,0.621,0.007,2.88,UVM-Aglab_Replaced with 2nd run
RI24-1222,0.11,0.033,0.007,-0.006,1.948,3.022,0.106,10.074,114.578,0.078,34.606,UVM-Aglab_
RI24-1223,0.095,0.026,0.008,-0.005,2.133,3.022,0.123,10.34,100.701,0.064,35.313,UVM-Aglab_
RI24-1224,0.074,0.031,0.008,0.005,2.064,3.111,0.11,11.24,109.869,0.02,36.697,UVM-Aglab_
RI24-1225,0.08,0.031,0.007,0.006,2.166,3.274,0.124,12.234,126.272,0.013,39.909,UVM-Aglab_
RI24-1226,0.069,0.027,0.006,0.004,2.182,3.478,0.118,12.75,132.927,-0.009,39.429,UVM-Aglab_
RI24-1227,0.028,0.035,0.007,0.003,2.256,3.596,0.129,13.552,130.34,-0.035,52.76,UVM-Aglab_
RI24-1228,-0.007,-0.003,0.008,-0.01,-0.174,-0.313,0.018,0.019,0.395,0.007,0.112,UVM-Aglab_
RI24-1229,0.034,0.034,0.006,0.01,2.269,3.5,0.124,13.728,140.061,-0.028,40.739,UVM-Aglab_
RI24-1230,0.028,0.038,0.007,0.012,2.281,3.532,0.13,14.127,136.353,-0.038,42.321,UVM-Aglab_
RI24-1241,0.38,0.411,0.007,0.003,1.796,0.777,-0.007,1.625,1.466,-0.01,13.625,UVM-Aglab_Replaced with 2nd run
RI24-1242,0.709,0.297,0.009,0.011,0.967,0.752,-0.003,1.124,1.085,0.001,9.377,UVM-Aglab_Replaced with 2nd run
RI24-1243,4.265,1.271,0.006,0.013,2.409,0.926,-0.002,2.511,2.04,-0.011,21.029,UVM-Aglab_Replaced with 2nd run
RI24-1244,1.537,0.427,0.006,0.001,1.517,0.723,-0.01,1.269,1.143,-0.002,10.722,UVM-Aglab_Replaced with 2nd run
RI24-1245,0.92,0.265,0.007,0.004,1.423,0.689,-0.009,1.028,0.983,0.002,8.557,UVM-Aglab_Replaced with 2nd run
RI24-1246,0.425,0.249,0.007,0.002,0.994,0.837,-0.007,1.157,1.196,-0.004,8.859,UVM-Aglab_Replaced with 2nd run
RI24-1247,0.49,0.154,0.007,0.003,1.533,0.698,-0.003,0.955,0.963,0.002,7.694,UVM-Aglab_Replaced with 2nd run
RI24-1248,0.165,0.057,0.007,-0.001,1.53,0.647,-0.012,0.661,0.751,0.005,4.873,UVM-Aglab_Replaced with 2nd run
RI24-1249,0.459,0.141,0.007,0.03,1.33,0.668,-0.016,0.896,0.916,0.004,7.137,UVM-Aglab_Replaced with 2nd run
RI24-1250,-0.007,0.102,0.004,0,2.416,8.664,0.189,33.788,347.769,-0.062,50.917,UVM-Aglab_Replaced with 2nd run
RI24-1251,0.001,0.075,0.006,-0.001,2.066,4.895,0.169,19.945,204.059,-0.042,37.274,UVM-Aglab_Replaced with 2nd run
RI24-1252,0.005,0.136,0.006,0.002,2.521,7.922,0.217,28.827,328.393,-0.063,54.753,UVM-Aglab_Replaced with 2nd run
RI24-1253,0.009,0.183,0.006,0.004,2.579,7.295,0.221,28.341,297.517,-0.067,65.519,UVM-Aglab_Replaced with 2nd run
RI24-1254,0.012,0.25,0.006,0.014,2.603,11.858,0.316,43.123,452.904,-0.097,87.988,UVM-Aglab_Replaced with 2nd run
RI24-1255,0,0.064,0.007,-0.004,1.895,7.266,0.241,30.611,314.452,-0.052,39.671,UVM-Aglab_Replaced with 2nd run
RI24-1256,0.015,0.24,0.006,0.015,2.06,10.063,0.282,37.841,384.676,-0.087,87.854,UVM-Aglab_Replaced with 2nd run
RI24-1257,0.009,0.121,0.007,0.006,2.325,10.5,0.292,39.92,414.579,-0.059,54.712,UVM-Aglab_Replaced with 2nd run
RI24-1258,0.01,0.206,0.006,0.017,2.712,10.341,0.287,38.594,403.594,-0.072,73.004,UVM-Aglab_Replaced with 2nd run
RI24-1259,0.012,0.034,0.006,0,3.322,3.412,0.114,12.98,27.861,-0.046,43.261,UVM-Aglab_Replaced with 2nd run
RI24-1260,0.012,0.033,0.006,-0.005,2.564,3.522,0.116,11.608,25.054,-0.046,41.997,UVM-Aglab_Replaced with 2nd run
RI24-1261,0.008,0.019,0.006,-0.008,2.577,2.79,0.099,10.669,21.79,-0.031,27.956,UVM-Aglab_Replaced with 2nd run
RI24-1262,0.029,0.059,0.007,-0.003,3.572,3.728,0.127,12.356,26.777,-0.06,56.749,UVM-Aglab_Replaced with 2nd run
RI24-1263,0.009,0.034,0.007,0.034,2.917,3.292,0.114,11.643,24.346,-0.043,37.368,UVM-Aglab_Replaced with 2nd run
RI24-1264,0.008,0.018,0.006,-0.005,2.882,3.783,0.132,13.44,28.514,-0.028,30.931,UVM-Aglab_Replaced with 2nd run
RI24-1265,0.006,0.024,0.006,-0.006,2.962,3.307,0.113,11.613,24.833,-0.036,30.768,UVM-Aglab_Replaced with 2nd run
RI24-1266,0.008,0.031,0.006,0.005,1.233,4.062,0.123,13.28,29.205,-0.036,35.253,UVM-Aglab_
RI24-1269,0.003,-0.002,0.007,0.044,0.58,0.797,0.042,0.421,0.738,0.012,2.921,UVM-Aglab_Replaced with Si run values
RI24-1270,0.006,-0.002,0.007,0.006,1.594,0.773,0.039,0.412,0.696,0.013,2.87,UVM-Aglab_Replaced with Si run values
RI24-1271,0.01,0,0.006,0.01,0.099,0.761,0.036,0.379,0.671,0.018,2.711,UVM-Aglab_Replaced with Si run values
RI24-1272,0.01,-0.001,0.006,-0.006,0.059,0.737,0.042,0.346,0.617,0.023,2.513,UVM-Aglab_Replaced with Si run values
RI24-1273,0.013,0,0.006,-0.007,0.468,0.7,0.052,0.333,0.559,0.027,2.414,UVM-Aglab_Replaced with Si run values
RI24-1274,0.013,0.002,0.007,-0.004,0.113,0.7,0.042,0.329,0.561,0.028,2.375,UVM-Aglab_Replaced with Si run values
RI24-1275,0.01,-0.002,0.006,-0.003,0.396,0.685,0.032,0.325,0.545,0.023,2.314,UVM-Aglab_Replaced with Si run values
RI24-1276,0.004,-0.009,0.007,0.003,0.973,0.972,-0.01,0.32,0.656,0.027,2.387,UVM-Aglab_Replaced with Si run values
RI24-1277,0.002,-0.008,0.007,0.006,0.92,0.974,-0.006,0.294,0.635,0.025,2.277,UVM-Aglab_Replaced with Si run values
RI24-1278,0.022,0.009,0.007,0.004,2.707,3.191,0.038,7.456,18.749,-0.025,30.91,UVM-Aglab_Replaced with Si run values
RI24-1279,0.029,0.01,0.007,-0.002,2.342,2.939,0.037,6.602,16.447,-0.029,29.04,UVM-Aglab_Replaced with Si run values
RI24-1280,0.023,0.01,0.008,0.004,2.348,3.25,0.053,6.635,15.728,-0.028,32.746,UVM-Aglab_Replaced with Si run values
RI24-1281,0.07,0.007,0.007,-0.001,3.907,2.876,0.098,5.779,13.856,0.006,31.494,UVM-Aglab_Replaced with Si run values
RI24-1282,0.07,0.009,0.007,0.026,3.41,3.046,0.094,5.652,13.186,0.001,30.789,UVM-Aglab_Replaced with Si run values
RI24-1283,0.064,0.007,0.007,0,2.33,2.955,0.084,5.56,12.823,0.005,25.942,UVM-Aglab_Replaced with Si run values
RI24-1284,0.057,0.008,0.007,-0.004,2.63,2.922,0.097,5.563,12.527,-0.01,30.408,UVM-Aglab_Replaced with Si run values
RI24-1285,0.073,0.012,0.008,0,2.002,3.124,0.111,5.693,11.549,0.01,29.069,UVM-Aglab_Replaced with Si run values
RI24-1286,-0.007,-0.005,0.006,0,0.129,0.788,0.033,0.257,0.239,0.007,0.783,UVM-Aglab_Replaced with Si run values
RI24-1329,-0.007,-0.006,0.01,0.012,1.129,1.069,0.047,1.678,6.062,-0.001,6.236,UVM-Aglab_Replaced with Si run values
RI24-1330,0.034,0.035,0.006,0.063,1.744,3.767,0.075,11.564,22.884,-0.056,62.049,UVM-Aglab_Replaced with Si run values
RI24-1331,0.017,0.008,0.014,0.108,0.056,0.851,-0.009,0.957,1.195,0.059,7.321,UVM-Aglab_Replaced with Si run values
RI24-1332,0.028,0.003,0.009,0.022,0.011,0.871,-0.008,1.154,1.415,0.088,8.429,UVM-Aglab_Replaced with Si run values
RI24-1333,0.004,-0.003,0.007,0.004,0.471,0.798,-0.01,0.728,0.955,0.024,5.352,UVM-Aglab_Replaced with Si run values
RI24-1334,0.011,0.002,0.008,0.005,0.089,0.901,-0.006,1.144,1.376,0.039,8.217,UVM-Aglab_Replaced with Si run values
RI24-1335,0.005,-0.003,0.009,0.006,0.318,0.842,-0.011,0.766,0.979,0.036,5.467,UVM-Aglab_Replaced with Si run values
RI24-1336,0.003,-0.006,0.007,-0.001,0.264,0.772,-0.015,0.452,0.661,0.032,3.342,UVM-Aglab_Replaced with Si run values
RI24-1337,0.01,-0.002,0.007,0.004,0.292,0.869,-0.015,0.769,0.998,0.047,5.482,UVM-Aglab_Replaced with Si run values
RI24-1339,0.011,0.003,0.008,0.004,0.523,1.068,-0.005,1.468,1.748,0.031,10.27,UVM-Aglab_Replaced with Si run values
RI24-1340,0.006,-0.002,0.007,-0.002,0.185,0.982,-0.009,0.754,1.074,0.037,5.382,UVM-Aglab_Replaced with Si run values
RI24-1341,0.004,-0.005,0.007,0.004,0.721,1.042,0,0.658,0.994,0.032,4.706,UVM-Aglab_Replaced with Si run values
RI24-1342,0.002,-0.001,0.002,0.006,0.156,1.05,-0.021,0.903,1.498,0.022,6.46,UVM-Aglab_Replaced with Si run values
RI24-1343,0.001,-0.008,0.007,0.006,0.773,0.662,-0.022,0.377,0.576,0.024,2.766,UVM-Aglab_
RI24-1347,-0.001,-0.012,0.004,-0.006,0.629,0.463,-0.033,0.235,0.418,0.051,1.974,UVM-Aglab_
RI24-1348,-0.016,-0.015,0.005,0.019,0.279,0.656,-0.034,0.216,0.204,0.004,0.56,UVM-Aglab_
RI24-1349,0.091,-0.014,0.005,0.017,0.627,0.445,-0.036,0.079,0.244,0.348,0.333,UVM-Aglab_
RI24-1350,-0.013,-0.009,0.01,0.058,0.018,0.63,-0.006,0.046,0.487,0.008,0.755,UVM-Aglab_
RI24-1351,0.028,0.002,0.005,-0.007,1.504,2.224,0.014,6.336,13.182,-0.033,34.79,UVM-Aglab_
RI24-1352,-0.012,-0.013,0.005,0.004,0.427,0.945,-0.023,0.597,0.972,0.005,2.698,UVM-Aglab_
RI24-1353,-0.008,-0.018,0.007,0.008,5.204,0.777,0.051,3.982,6.927,-0.025,28.675,UVM-Aglab_
RI24-1354,0.002,-0.012,0.005,0,0.735,0.513,-0.029,0.256,0.488,0.036,2.184,UVM-Aglab_
RI24-1355,0.039,0.016,0.011,-0.003,0.689,0.488,-0.035,0.328,0.474,0.04,3.106,UVM-Aglab_
RI24-1356,0.016,0.005,0.007,-0.003,0.496,0.688,0.015,0.301,1.021,0.064,2.159,UVM-Aglab_
RI24-1357,0.004,-0.013,0.005,-0.007,0.548,0.467,-0.033,0.238,0.422,0.052,2.036,UVM-Aglab_
RI24-1358,0.004,-0.012,0.005,-0.006,0.59,0.473,-0.034,0.249,0.417,0.058,2.036,UVM-Aglab_
RI24-1359,0.002,-0.012,0.004,-0.005,0.541,0.455,-0.029,0.248,0.409,0.045,2.055,UVM-Aglab_
RI24-1360,0.002,-0.013,0.004,-0.005,0.561,0.478,-0.043,0.252,0.411,0.044,2.065,UVM-Aglab_
RI24-1361,0,-0.013,0.004,-0.005,0.564,0.477,-0.037,0.249,0.414,0.042,2.011,UVM-Aglab_
RI24-1362,-0.002,-0.009,0.004,-0.007,0.592,0.521,-0.033,0.25,0.456,0.045,2,UVM-Aglab_
RI24-1363,0.053,-0.014,0.005,-0.009,1.422,2.102,0.019,6.134,11.86,-0.006,26.082,UVM-Aglab_
RI24-1364,0.03,-0.015,0.005,-0.008,1.473,2.215,0.013,6.442,12.383,-0.023,30.988,UVM-Aglab_
RI24-1365,0.031,-0.014,0.006,-0.008,1.507,2.295,0.018,6.415,12.733,-0.027,30.245,UVM-Aglab_
RI24-1366,0.024,-0.015,0.006,-0.009,1.523,2.291,0.015,6.57,12.427,-0.022,30.377,UVM-Aglab_
RI24-1367,0.059,-0.014,0.005,-0.009,1.478,2.353,0.013,6.567,13.018,-0.015,31.589,UVM-Aglab_
RI24-1368,0.03,-0.015,0.007,-0.008,1.5,2.348,0.018,6.685,12.964,-0.022,32.18,UVM-Aglab_
RI24-1369,0.04,-0.015,0.006,-0.009,1.495,2.348,0.015,6.548,13.391,-0.016,29.915,UVM-Aglab_
RI24-1412,1.132,0.424,0.007,0.054,1.611,0.728,-0.001,1.199,1.094,-0.004,9.767,UVM-Aglab_
RI24-PBgrab5.15.24_10h30,0.111,0.055,0.002,0.012,1.852,4.013,0.085,14.411,149.481,-0.074,52.119,"UVM-Aglab_Not in RI24 inventory, post winter season"
RI24-PBgrab5.15.24_10h30_1,0.116,0.051,0.002,0.007,1.856,4.054,0.085,14.422,149.366,-0.069,52.052,"UVM-Aglab_Not in RI24 inventory, post winter season"
